"","WT 1","WT 2","WT 3","KO 1","KO 2","KO 3"
"ENSMUSG00000000682",32,32,72,40,55,53
"ENSMUSG00000000686",26,29,58,27,42,51
"ENSMUSG00000000690",0,0,0,0,1,0
"ENSMUSG00000000693",204,251,312,153,228,241
"ENSMUSG00000000701",0,0,0,0,0,0
"ENSMUSG00000000706",3,3,6,7,6,10
"ENSMUSG00000000708",290,287,571,260,465,399
"ENSMUSG00000000711",409,604,797,366,573,546
"ENSMUSG00000000724",2,1,1,1,2,0
"ENSMUSG00000000730",2,7,12,8,5,3
"ENSMUSG00000000731",11,11,13,3,7,20
"ENSMUSG00000000732",249,270,422,184,289,281
"ENSMUSG00000000738",1636,2114,2721,1333,1909,2048
"ENSMUSG00000000739",6,10,11,6,7,2
"ENSMUSG00000000740",156,183,204,102,138,162
"ENSMUSG00000000743",1614,1925,2543,1396,1970,1873
"ENSMUSG00000000751",1838,2147,2878,1489,1977,2062
"ENSMUSG00000000753",234,316,555,173,282,346
"ENSMUSG00000000759",1689,2034,2772,1546,1911,1954
"ENSMUSG00000000766",35,46,71,43,39,84
"ENSMUSG00000000776",846,1022,1418,706,1023,1019
"ENSMUSG00000000782",238,264,398,212,320,326
"ENSMUSG00000000787",4329,5512,7267,4738,7033,5219
"ENSMUSG00000000791",14,77,135,33,117,74
"ENSMUSG00000000792",858,1070,513,741,527,670
"ENSMUSG00000000794",297,282,451,260,342,433
"ENSMUSG00000000804",7964,8771,13266,7323,10021,10148
"ENSMUSG00000000805",1635,2015,1945,1240,1313,1648
"ENSMUSG00000000811",161,199,266,143,241,158
"ENSMUSG00000000817",10,8,15,10,6,15
"ENSMUSG00000000823",3777,4706,5423,2864,3556,3704
"ENSMUSG00000000826",19728,23697,32784,17325,24070,24118
"ENSMUSG00000000827",1661,2081,2688,1369,2155,2024
"ENSMUSG00000000838",3572,4243,5796,3349,4055,4346
"ENSMUSG00000000861",5269,6558,8122,4177,5431,5710
"ENSMUSG00000000869",340,397,519,318,373,368
"ENSMUSG00000000876",718,766,1128,621,930,843
"ENSMUSG00000000881",9145,10967,14250,7132,9930,11185
"ENSMUSG00000000884",120,164,245,130,209,170
"ENSMUSG00000000889",20,10,18,13,13,29
"ENSMUSG00000000901",88,116,170,48,99,81
"ENSMUSG00000000902",2373,2826,3565,1722,2419,2541
"ENSMUSG00000000903",4,0,5,5,4,6
"ENSMUSG00000000915",3439,4253,5868,3199,4561,3913
"ENSMUSG00000000916",423,521,620,348,441,450
"ENSMUSG00000000934",357,488,579,274,493,375
"ENSMUSG00000000938",0,0,0,0,0,0
"ENSMUSG00000000942",0,0,0,0,1,0
"ENSMUSG00000000948",8662,11103,14828,7269,11297,10324
"ENSMUSG00000000957",597,805,1358,301,375,399
"ENSMUSG00000000958",91,113,136,62,108,71
"ENSMUSG00000000959",1641,2134,2820,1414,2162,1924
"ENSMUSG00000000976",984,1144,1429,711,1007,1138
"ENSMUSG00000000982",7,4,9,4,9,10
"ENSMUSG00000000983",18,21,36,19,25,33
